Res,Noise_Param,Scale_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum
100.0,0.013894954943731374,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2958234604535589,0.7658285596050967,29.68560744259305,29.984688673144372,5.955832505262019e-07
100.0,0.021544346900318832,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.3763723977448317,0.6030940313545383,29.68560744259305,32.0101464077813,5.578974278488882e-07
100.0,0.021544346900318832,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.3784646579624306,0.5996923657090395,29.68560744259305,32.12123562587113,5.559679756398909e-07
100.0,0.021544346900318832,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.38274445745511776,0.5925255275739464,29.68560744259305,32.70293116167831,5.460788287654833e-07
100.0,0.021544346900318832,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.37409814403683933,0.6061941815383366,29.68560744259305,31.031192722577885,5.754976454054889e-07
100.0,0.03340484983513244,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.5160603771120883,0.44023962699844843,29.68560744259305,33.98175011504086,5.255285053156551e-07
100.0,0.03340484983513244,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.5260541750491966,0.43152721791376286,29.68560744259305,34.59795933263518,5.161685454992215e-07
100.0,0.03340484983513244,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.524369720143649,0.4329343229606984,29.68560744259305,34.81524972915622,5.129470127285032e-07
100.0,0.03340484983513244,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.5209796012843402,0.43571458308410393,29.68560744259305,33.82977900238185,5.278892996820985e-07
100.0,0.0517947467923121,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.772253953781029,0.2940317718842733,29.68560744259305,39.976225033197316,4.467249804386844e-07
100.0,0.0517947467923121,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.7609300746373876,0.29867905317968113,29.68560744259305,39.71895311142595,4.4961855605479687e-07
100.0,0.0517947467923121,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.7671415111783599,0.2959969906854623,29.68560744259305,40.8228677330013,4.3746016234745705e-07
100.0,0.0517947467923121,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.7704892175169483,0.2946071954196401,29.68560744259305,38.82457171274262,4.5997618410575317e-07
100.0,0.08030857221391513,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,1.1503616631840847,0.1973018982976529,29.68560744259305,44.95806553384372,3.972230151344926e-07
100.0,0.08030857221391513,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,1.151045099584026,0.19708218015794204,29.68560744259305,48.95120330632557,3.6482000726751945e-07
100.0,0.08030857221391513,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,1.143250210277799,0.19837900761152902,29.68560744259305,44.848364381540385,3.981946408132118e-07
100.0,0.08030857221391513,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,1.1583957857046663,0.19605057381740718,29.68560744259305,46.91403792584534,3.8066171950910207e-07
100.0,0.12451970847350319,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,1.7841808986749428,0.1272736898836934,29.68560744259305,62.16016179302251,2.872962011494012e-07
100.0,0.12451970847350319,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,1.7653411176261298,0.12850895361370343,29.68560744259305,60.74888482096064,2.939704720275903e-07
100.0,0.12451970847350319,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,1.7782428251407205,0.1277574108845067,29.68560744259305,62.79654224883986,2.8438474008968925e-07
100.0,0.12451970847350319,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,1.7600806310977963,0.12895228211399515,29.68560744259305,61.13923443691746,2.9209358786449184e-07
100.0,0.19306977288832497,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,2.7511894356653146,0.08250755668529994,29.68560744259305,94.5220879182397,1.889333883675397e-07
